Year,LocationAbbr,LocationDesc,Class,Data_Value,Data_Value_Unit,Stratification1,Stratification2,Stratification3,LocationID
2018,TX,Anderson,Cardiovascular Diseases,306.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2012,TX,Anderson,Cardiovascular Diseases,278.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2001,TX,Anderson,Cardiovascular Diseases,302.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2002,TX,Anderson,Cardiovascular Diseases,286.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2019,TX,Anderson,Cardiovascular Diseases,286.8,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2017,TX,Anderson,Cardiovascular Diseases,311.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2011,TX,Anderson,Cardiovascular Diseases,283.9,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2015,TX,Anderson,Cardiovascular Diseases,309.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2003,TX,Anderson,Cardiovascular Diseases,296.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2005,TX,Anderson,Cardiovascular Diseases,264,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2009,TX,Anderson,Cardiovascular Diseases,261.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2014,TX,Anderson,Cardiovascular Diseases,307.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2000,TX,Anderson,Cardiovascular Diseases,324.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2004,TX,Anderson,Cardiovascular Diseases,277.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
1999,TX,Anderson,Cardiovascular Diseases,332.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2010,TX,Anderson,Cardiovascular Diseases,261.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2016,TX,Anderson,Cardiovascular Diseases,298.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2006,TX,Anderson,Cardiovascular Diseases,266.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2008,TX,Anderson,Cardiovascular Diseases,267.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2013,TX,Anderson,Cardiovascular Diseases,293.9,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2007,TX,Anderson,Cardiovascular Diseases,269.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48001
2011,TX,Anderson,Cardiovascular Diseases,118.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2006,TX,Anderson,Cardiovascular Diseases,115.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2008,TX,Anderson,Cardiovascular Diseases,117.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
