"RowId","YearStart","LocationAbbr","LocationDesc","DataSource","PriorityArea1","PriorityArea2","PriorityArea3","PriorityArea4","Class","Topic","Question","Data_Value_Type","Data_Value_Unit","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Break_Out_Category","Break_Out","ClassId","TopicId","QuestionId","Data_Value_TypeID","BreakOutCategoryId","BreakOutId","LocationId","GeoLocation"
NA,2016,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",2367.6,2367.6,NA,NA,2318.3,2417.9,"Race","Unknown","C1","T1","MD101","Crude","BOC04","RAC08",59,NA
NA,2017,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",2403.7,2403.7,NA,NA,2358.1,2450.2,"Race","Unknown","C1","T1","MD101","Crude","BOC04","RAC08",59,NA
NA,2018,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",2482.3,2482.3,NA,NA,2438.9,2526.4,"Race","Unknown","C1","T1","MD101","Crude","BOC04","RAC08",59,NA
NA,2019,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",5395,5395,NA,NA,5381.7,5408.2,"Gender","Male","C1","T1","MD101","Crude","BOC02","GEN01",59,NA
NA,2020,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",4505.4,4505.4,NA,NA,4493.3,4517.5,"Gender","Male","C1","T1","MD101","Crude","BOC02","GEN01",59,NA
NA,2021,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",4694.6,4694.6,NA,NA,4682,4707.2,"Gender","Male","C1","T1","MD101","Crude","BOC02","GEN01",59,NA
NA,2017,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Diseases of the Heart (Heart Disease)","Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",1782.3,1782.3,NA,NA,1743,1822.4,"Race","Unknown","C1","T2","MD201","Crude","BOC04","RAC08",59,NA
NA,2021,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Diseases of the Heart (Heart Disease)","Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",1831.9,1831.9,NA,NA,1798.8,1865.7,"Race","Unknown","C1","T2","MD201","Crude","BOC04","RAC08",59,NA
NA,2019,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Acute Myocardial Infarction (Heart Attack)","Prevalence of in-hospital mortality among acute myocardial infarction (heart attack) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",9.3,9.3,NA,NA,8.2,10.5,"Race","Non-Hispanic Asian","C1","T3","MD403","Crude","BOC04","RAC03",59,NA
NA,2020,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Acute Myocardial Infarction (Heart Attack)","Prevalence of in-hospital mortality among acute myocardial infarction (heart attack) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",6.9,6.9,NA,NA,6.8,7.1,"Gender","Male","C1","T3","MD403","Crude","BOC02","GEN01",59,NA
NA,2018,"NV","Nevada","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Coronary heart disease hospitalization rate among Medicare beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",1173.9,1173.9,NA,NA,1104,1248.1,"Age","75+","C1","T4","MD301","Crude","BOC03","AGE08",32,"POINT (-117.0718406 39.49324039)"
NA,2018,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Coronary heart disease hospitalization rate among Medicare beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",953.1,953.1,NA,NA,928.4,978.5,"Race","Other","C1","T4","MD301","Crude","BOC04","RAC07",59,NA
NA,2020,"CO","Colorado","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Coronary heart disease hospitalization rate among Medicare beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",569.4,569.4,NA,NA,404.8,800.9,"Race","Other","C1","T4","MD301","Crude","BOC04","RAC07",8,"POINT (-106.1336109 38.84384076)"
NA,2020,"TX","Texas","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Coronary heart disease hospitalization rate among Medicare beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",980.8,980.8,NA,NA,958.7,1003.4,"Age","75+","C1","T4","MD301","Crude","BOC03","AGE08",48,"POINT (-99.42677021 31.82724041)"
NA,2017,"HI","Hawaii","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,0,0,"Race","Unknown","C1","T4","MD303","Crude","BOC04","RAC08",15,"POINT (-157.8577494 21.30485044)"
NA,2017,"UT","Utah","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,0,0,"Race","Unknown","C1","T4","MD303","Crude","BOC04","RAC08",49,"POINT (-111.5871306 39.36070017)"
NA,2017,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",2.7,2.7,NA,NA,2.1,3.3,"Race","Unknown","C1","T4","MD303","Crude","BOC04","RAC08",59,NA
NA,2018,"ID","Idaho","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Hispanic","C1","T4","MD303","Crude","BOC04","RAC04",16,"POINT (-114.36373 43.68263001)"
NA,2018,"MT","Montana","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,0,0,"Race","Unknown","C1","T4","MD303","Crude","BOC04","RAC08",30,"POINT (-109.4244206 47.06652897)"
NA,2019,"OH","Ohio","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",4.1,4.1,NA,NA,3.6,4.6,"Gender","Male","C1","T4","MD303","Crude","BOC02","GEN01",39,"POINT (-82.40426006 40.06021014)"
NA,2020,"ID","Idaho","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,0,0,"Race","Unknown","C1","T4","MD303","Crude","BOC04","RAC08",16,"POINT (-114.36373 43.68263001)"
NA,2020,"IA","Iowa","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Other","C1","T4","MD303","Crude","BOC04","RAC07",19,"POINT (-93.81649056 42.46940091)"
NA,2021,"NB","Nebraska","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Coronary Heart Disease","Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Non-Hispanic Black","C1","T4","MD303","Crude","BOC04","RAC02",31,"POINT (-99.36572062 41.64104099)"
NA,2017,"NY","New York","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Heart Failure","Heart failure hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",422.1,422.1,NA,NA,407,437.7,"Age","75+","C1","T5","MD501","Crude","BOC03","AGE08",36,"POINT (-75.54397043 42.82700103)"
NA,2021,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Heart Failure","Heart failure hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",83.4,83.4,NA,NA,76.2,91.3,"Race","Other","C1","T5","MD501","Crude","BOC04","RAC07",59,NA
NA,2019,"ID","Idaho","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Heart Failure","Prevalence of in-hospital mortality among heart failure hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,0,0,"Race","Unknown","C1","T5","MD503","Crude","BOC04","RAC08",16,"POINT (-114.36373 43.68263001)"
NA,2019,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Heart Failure","Prevalence of in-hospital mortality among heart failure hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",3.9,3.9,NA,NA,2.1,7.3,"Race","Unknown","C1","T5","MD503","Crude","BOC04","RAC08",59,NA
NA,2021,"ID","Idaho","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Heart Failure","Prevalence of in-hospital mortality among heart failure hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Other","C1","T5","MD503","Crude","BOC04","RAC07",16,"POINT (-114.36373 43.68263001)"
NA,2017,"DE","Delaware","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Stroke","Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Non-Hispanic Asian","C1","T6","MD603","Crude","BOC04","RAC03",10,"POINT (-75.57774117 39.00883067)"
NA,2018,"AR","Arizona","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Stroke","Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,0,0,"Race","Unknown","C1","T6","MD603","Crude","BOC04","RAC08",4,"POINT (-111.7638113 34.86597028)"
NA,2018,"ME","Maine","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Stroke","Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Hispanic","C1","T6","MD603","Crude","BOC04","RAC04",23,"POINT (-68.98503134 45.25422889)"
NA,2019,"US","United States","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Stroke","Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",4.8,4.8,NA,NA,4,5.6,"Race","Unknown","C1","T6","MD603","Crude","BOC04","RAC08",59,NA
NA,2020,"DE","Delaware","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Stroke","Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Other","C1","T6","MD603","Crude","BOC04","RAC07",10,"POINT (-75.57774117 39.00883067)"
NA,2021,"SD","South Dakota","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Stroke","Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Percent (%)",0,0,NA,NA,-1,-1,"Race","Hispanic","C1","T6","MD603","Crude","BOC04","RAC04",46,"POINT (-100.3735306 44.35313005)"
NA,2020,"NM","New Mexico","Medicare","None",NA,"None",NA,"Cardiovascular Diseases","Major Cardiovascular Disease","Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare","Crude","Rate per 100,000",1810.1,1810.1,NA,NA,1419.4,2308.2,"Race","Unknown","C1","T1","MD101","Crude","BOC04","RAC08",35,"POINT (-106.240581 34.52088095)"
